公車名稱,站牌名稱
216,第一銀行
216,北投公園
216,新北投
216,中和街
216,復興中學
216,中和里
218,祖師廟(貴陽)
218,貴陽街
218,捷運西門站
218,中華路北站
218,捷運北門站
218,臺北車站(鄭州)
218,中山市場
218,國賓飯店
218,文林國小
218,石牌
218,承德路七段
218,大興街口
218,捷運北投站(北投)
218,幼華高中(北投)
218,大業中央北路口
218,北投國小
218,第一銀行
218,北投公園
218,貴子坑水土保持園區
218,北投站
218區,大興街口
218區,捷運北投站(北投)
218區,幼華高中(北投)
218區,大業中央北路口
218區,北投國小
218區,第一銀行
218區,北投公園
218區,新北投
218區,北投站
218直,祖師廟(貴陽)
218直,貴陽街
218直,捷運西門站
218直,中華路北站
218直,捷運北門站
218直,臺北車站(鄭州)
218直,中山市場
218直,國賓飯店
218直,士林監理站
218直,承德路七段
218直,實踐街口
218直,立賢承德路口
218直,立農國小
218直,承德公館路口
218直,北投國小
218直,第一銀行
218直,北投公園
218直,新北投
218直,中和街
218直,復興中學
218直,中和里
221,中華路北站
221,西門市場(成都)
221,西門國小
221,大慶社區
221,玉清宮
221,信義里
221,樓厝一
221,民族民義街口
221,仁愛街口
221,仁愛國小
221,柳堤公園
221,忠義國小
222,寶慶路
222,衡陽路口
222,博物館(襄陽)
222,臺北車站(青島)
222,青島林森路口
222,成功中學(濟南)
222,濟南路二段
222,濟南金山路口
222,恕德家商
222,麗山街
222,捷運港墘站(內湖高工)
222,西湖圖書館(湖光教會)
222,湖光國宅
222,捷運文德站(碧湖公園)
222,內湖高中
222,金龍寺
222,碧湖山莊
222,西湖園
222,麗山高中(港墘)
222,港墘
222,港墘派出所
222,瑞光路
223,國興路口一
223,國興路口
223,中華南海路口
223,南機場公寓
223,廈安里
223,大埔街
223,聯合醫院和平院區
223,捷運西門站
223,捷運大橋頭站
223,昌吉重慶路口
223,民族重慶路口
223,酒泉重慶路口
223,啟聰學校
223,明德國中
223,明德路
223,奎山國中
223,明德路267巷
223,宏國新村
223,振興醫院
223,榮總一
223,捷運唭哩岸站二(東華)
223,崇仁路口
223,忠義新村
